# Rime user dictionary
#@/db_name	sbfz.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	0
#@/user_id	main
cgeu 	宠	c=18771 d=0.00018772 t=0
cgeu 	宸	c=1527 d=1.528e-05 t=0
cgia 	廛	c=131 d=1.32e-06 t=0
cgoe 	魑	c=628 d=6.29e-06 t=0
cgua 	察	c=123682 d=0.00123683 t=0
chae 	车	c=354801 d=0.00354802 t=0
chai 	丞	c=6792 d=6.793e-05 t=0
chai 	黜	c=683 d=6.84e-06 t=0
chao 	黪	c=20 d=2.1e-07 t=0
cheo 	秤	c=2461 d=2.462e-05 t=0
chia 	灿	c=14771 d=0.00014772 t=0
chia 	炽	c=8183 d=8.184e-05 t=0
chia 	种	c=6 d=7e-08 t=0
chia 	程	c=351528 d=0.00351529 t=0
chie 	赤	c=51208 d=0.00051209 t=0
chio 	寸	c=34515 d=0.00034516 t=0
chiu 	才	c=746317 d=0.00746318 t=0
chiu 	炒	c=6364 d=6.365e-05 t=0
chua 	册	c=21918 d=0.00021919 t=0
chua 	炊	c=2501 d=2.502e-05 t=0
chua 	称	c=156841 d=0.00156842 t=0
chua 	稠	c=1724 d=1.725e-05 t=0
chue 	辰	c=35486 d=0.00035487 t=0
chui 	爨	c=141 d=1.42e-06 t=0
chuo 	丛	c=30831 d=0.00030832 t=0
chuu 	厂	c=90501 d=0.00090502 t=0
ci 	此	c=1002716 d=0.0100272 t=0
cjai 	绌	c=788 d=7.89e-06 t=0
cjao 	钗	c=10554 d=0.00010555 t=0
cjea 	纯	c=59300 d=0.00059301 t=0
cjee 	帱	c=17 d=1.8e-07 t=0
cjee 	舂	c=305 d=3.06e-06 t=0
cjei 	错	c=231881 d=0.00231882 t=0
cjei 	镡	c=3 d=4e-08 t=0
cjeu 	铖	c=93 d=9.4e-07 t=0
cjia 	触	c=60048 d=0.00060049 t=0
cjia 	锄	c=3045 d=3.046e-05 t=0
cjie 	绰	c=8120 d=8.121e-05 t=0
cjie 	觇	c=170 d=1.71e-06 t=0
cjio 	常	c=445391 d=0.00445392 t=0
cjio 	铛	c=58 d=5.9e-07 t=0
cjiu 	钞	c=6276 d=6.277e-05 t=0
cjoe 	幢	c=49 d=5e-07 t=0
cjoe 	缠	c=41329 d=0.0004133 t=0
cjoe 	铲	c=6022 d=6.023e-05 t=0
cjoe 	铳	c=157 d=1.58e-06 t=0
cjoo 	斥	c=19462 d=0.00019463 t=0
cjoo 	镩	c=9 d=1e-07 t=0
cjoo 	镲	c=13 d=1.4e-07 t=0
cjua 	绸	c=11027 d=0.00011028 t=0
cjue 	锤	c=9114 d=9.115e-05 t=0
cjue 	锸	c=54 d=5.5e-07 t=0
cjui 	钏	c=750 d=7.51e-06 t=0
cjuo 	锉	c=467 d=4.68e-06 t=0
ckao 	啜	c=5173 d=5.174e-05 t=0
ckee 	呈	c=23881 d=0.00023882 t=0
ckei 	哧	c=6260 d=6.261e-05 t=0
ckei 	喳	c=62 d=6.3e-07 t=0
ckei 	嗔	c=9361 d=9.362e-05 t=0
ckei 	嘈	c=3409 d=3.41e-05 t=0
ckei 	嘲	c=21301 d=0.00021302 t=0
ckia 	串	c=14763 d=0.00014764 t=0
ckia 	唱	c=55042 d=0.00055043 t=0
ckia 	喘	c=33770 d=0.00033771 t=0
ckia 	嗤	c=12691 d=0.00012692 t=0
ckia 	嘬	c=101 d=1.02e-06 t=0
ckia 	臣	c=50362 d=0.00050363 t=0
ckie 	呲	c=259 d=2.6e-06 t=0
ckiu 	吵	c=26206 d=0.00026207 t=0
ckoe 	啐	c=2913 d=2.914e-05 t=0
ckoe 	啻	c=2166 d=2.167e-05 t=0
ckoo 	嚓	c=2902 d=2.903e-05 t=0
ckou 	噌	c=192 d=1.93e-06 t=0
ckua 	叱	c=21001 d=0.00021002 t=0
ckua 	吹	c=55464 d=0.00055465 t=0
ckue 	吃	c=332495 d=0.00332496 t=0
ckuo 	鬯	c=118 d=1.19e-06 t=0
claa 	剿	c=75 d=7.6e-07 t=0
clae 	迟	c=82477 d=0.00082478 t=0
clao 	惨	c=61622 d=0.00061623 t=0
clau 	怊	c=8 d=9e-08 t=0
clea 	惭	c=11448 d=0.00011449 t=0
clei 	刺	c=108454 d=0.00108455 t=0
clei 	忖	c=32131 d=0.00032132 t=0
clei 	怵	c=1121 d=1.122e-05 t=0
clei 	憷	c=56 d=5.7e-07 t=0
clia 	忡	c=4864 d=4.865e-05 t=0
clia 	恻	c=5098 d=5.099e-05 t=0
clia 	逞	c=9288 d=9.289e-05 t=0
clia 	遄	c=120 d=1.21e-06 t=0
clio 	惝	c=52 d=5.3e-07 t=0
cliu 	耖	c=4 d=5e-08 t=0
cloa 	忱	c=2459 d=2.46e-05 t=0
cloe 	悴	c=5076 d=5.077e-05 t=0
cloe 	憧	c=2821 d=2.822e-05 t=0
clou 	鹾	c=26 d=2.7e-07 t=0
clua 	惆	c=2674 d=2.675e-05 t=0
clue 	忏	c=3524 d=3.525e-05 t=0
clue 	怅	c=6178 d=6.179e-05 t=0
cluo 	创	c=142968 d=0.00142969 t=0
cluo 	刹	c=30001 d=0.00030002 t=0
cluo 	怆	c=2011 d=2.012e-05 t=0
cluu 	产	c=455375 d=0.00455376 t=0
cmaa 	椽	c=654 d=6.55e-06 t=0
cmaa 	闯	c=33246 d=0.00033247 t=0
cmai 	驰	c=30568 d=0.00030569 t=0
cmao 	杈	c=385 d=3.86e-06 t=0
cmao 	柽	c=94 d=9.5e-07 t=0
